"",詞彙,TF_IDF_Score
0,空間,9.885249
1,採光,7.744079
2,客廳,5.133459
3,收納,5.074192
4,牆面,4.816285
5,通風,4.747933
6,窗戶,4.231236
7,適合,3.915606
8,好,3.828469
9,良好,3.686467
10,家具,3.632569
11,衣櫃,3.251097
12,方便,3.204512
13,臥室,3.198092
14,地板,3.163406
15,衛浴,3.002937
16,設備,2.919122
17,地面,2.897196
18,充足,2.884790
19,大,2.857829
20,動線,2.799566
21,磁磚,2.638762
22,尚可,2.619557
23,天花,2.616331
24,配置,2.537642
25,規劃,2.488510
26,廚房,2.482827
27,使用,2.466073
28,浴室,2.435906
29,方正,2.428454
30,冷氣,2.407213
31,馬,2.365520
32,長,2.352308
33,自然光,2.348554
34,區,2.316121
35,一般,2.292471
36,桶,2.288112
37,檯,2.268731
38,玻璃,2.268653
39,一,2.264076
40,淋浴,2.213141
41,可能,2.201073
42,照明,2.153929
43,格局,2.127646
44,基本,2.101737
45,高度,2.085177
46,寬,2.077299
47,通風佳,2.074190
48,窗,2.022818
49,未見,1.982398
50,完整,1.981224
51,採光佳,1.954586
52,木紋,1.935757
53,內,1.933252
54,餐廳,1.930176
55,道,1.925118
56,新穎,1.917044
57,沙發,1.897122
58,佳,1.896663
59,家庭,1.885120
60,敞,1.865257
61,主臥,1.858909
62,普通,1.858784
63,無,1.857723
64,落地窗,1.843866
65,地坪,1.837274
66,走,1.823795
67,清潔,1.819367
68,舒適,1.818358
69,樓梯,1.810626
70,地磚,1.809589
71,燈,1.779313
72,外窗,1.777550
73,洗手台,1.772512
74,房間,1.772315
75,櫃體,1.768722
76,裝潢,1.766016
77,格局方正,1.765692
78,提供,1.765106
79,大面,1.756759
80,不足,1.717928
81,多,1.717709
82,面,1.685168
83,合作,1.676416
84,插座,1.674972
85,不,1.673069
86,二,1.666668
87,公尺,1.657354
88,適,1.649571
89,室,1.647010
90,收納櫃,1.639085
91,新式,1.626928
92,獨立,1.626899
93,提升,1.609912
94,安全,1.604891
95,直接,1.590250
96,床,1.574660
97,齊全,1.573176
98,間,1.567343
99,近,1.563533
100,書桌,1.553463
101,新,1.549041
102,乾濕分離,1.539419
103,設計,1.530846
104,小,1.522232
105,陽台,1.516532
106,社區,1.508415
107,浴缸,1.502882
108,順暢,1.502582
109,燈光,1.499631
